# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=26.6 Mm, apex_T=2.00 MK, footpoint |B|=330.0 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=490
g_si=274.0
B_outer_T=3.300000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=2.657800e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  3.300000e-02  3.300000e-02  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  3.300000e-02  3.300000e-02  3.014000e+06  6.027998e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  3.300000e-02  3.300000e-02  6.027998e+06  9.041994e+06  2.014897e+17  2.205586e+19  6.310345e+03
3  1.100000e+04  3.300000e-02  3.300000e-02  9.041994e+06  1.205599e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  3.300000e-02  3.300000e-02  1.205599e+07  1.506997e+07  2.064485e+17  1.895107e+19  6.367803e+03
5  1.100000e+04  3.300000e-02  3.300000e-02  1.506997e+07  1.808395e+07  2.087818e+17  1.742775e+19  6.396136e+03
6  1.100000e+04  3.300000e-02  3.300000e-02  1.808395e+07  2.109793e+07  2.094430e+17  1.621197e+19  6.419527e+03
7  1.100000e+04  3.300000e-02  3.300000e-02  2.109793e+07  2.411189e+07  2.098403e+17  1.504476e+19  6.442138e+03
8  1.100000e+04  3.300000e-02  3.300000e-02  2.411189e+07  2.712585e+07  2.102375e+17  1.387755e+19  6.464749e+03
9  1.100000e+04  3.300000e-02  3.300000e-02  2.712585e+07  3.013979e+07  2.087133e+17  1.288779e+19  6.482821e+03
10  1.100000e+04  3.300000e-02  3.300000e-02  3.013979e+07  3.315372e+07  2.058586e+17  1.202090e+19  6.497749e+03
11  1.100000e+04  3.300000e-02  3.300000e-02  3.315372e+07  3.616763e+07  2.030039e+17  1.115402e+19  6.512677e+03
12  1.100000e+04  3.300000e-02  3.300000e-02  3.616763e+07  3.918153e+07  2.001492e+17  1.028714e+19  6.527605e+03
13  1.100000e+04  3.300000e-02  3.300000e-02  3.918153e+07  4.219542e+07  1.966873e+17  9.639003e+18  6.536386e+03
14  1.100000e+04  3.300000e-02  3.300000e-02  4.219542e+07  4.520928e+07  1.930466e+17  9.055252e+18  6.543358e+03
15  1.100000e+04  3.300000e-02  3.300000e-02  4.520928e+07  4.822313e+07  1.894059e+17  8.471505e+18  6.550329e+03
16  1.100000e+04  3.300000e-02  3.300000e-02  4.822313e+07  5.123696e+07  1.857652e+17  7.887762e+18  6.557301e+03
17  1.100000e+04  3.300000e-02  3.300000e-02  5.123696e+07  5.425076e+07  1.821246e+17  7.304023e+18  6.564272e+03
18  1.100000e+04  3.300000e-02  3.300000e-02  5.425076e+07  5.726454e+07  1.784840e+17  6.720289e+18  6.571243e+03
19  1.100000e+04  3.300000e-02  3.300000e-02  5.726454e+07  6.027830e+07  1.748859e+17  6.211787e+18  6.576904e+03
20  1.100000e+04  3.300000e-02  3.300000e-02  6.027830e+07  6.329203e+07  1.713792e+17  5.864863e+18  6.579751e+03
21  1.100000e+04  3.300000e-02  3.300000e-02  6.329203e+07  6.630574e+07  1.678725e+17  5.517943e+18  6.582598e+03
22  1.100000e+04  3.300000e-02  3.300000e-02  6.630574e+07  6.931942e+07  1.643658e+17  5.171025e+18  6.585445e+03
23  1.100000e+04  3.300000e-02  3.300000e-02  6.931942e+07  7.233307e+07  1.608591e+17  4.824111e+18  6.588292e+03
24  1.100000e+04  3.300000e-02  3.300000e-02  7.233307e+07  7.534668e+07  1.573525e+17  4.477201e+18  6.591138e+03
25  1.100000e+04  3.300000e-02  3.300000e-02  7.534668e+07  7.836027e+07  1.538459e+17  4.130293e+18  6.593985e+03
26  1.100000e+04  3.300000e-02  3.300000e-02  7.836027e+07  8.137382e+07  1.503393e+17  3.783390e+18  6.596832e+03
27  1.100000e+04  3.300000e-02  3.300000e-02  8.137382e+07  8.438734e+07  1.485660e+17  3.525665e+18  6.598786e+03
28  1.100000e+04  3.300000e-02  3.300000e-02  8.438734e+07  8.740082e+07  1.479994e+17  3.330031e+18  6.600119e+03
29  1.100000e+04  3.300000e-02  3.300000e-02  8.740082e+07  9.041427e+07  1.474328e+17  3.134399e+18  6.601452e+03
30  1.100000e+04  3.300000e-02  3.300000e-02  9.041427e+07  9.342768e+07  1.468663e+17  2.938770e+18  6.602785e+03
31  1.100000e+04  3.300000e-02  3.300000e-02  9.342768e+07  9.644104e+07  1.462997e+17  2.743143e+18  6.604118e+03
32  1.100000e+04  3.300000e-02  3.300000e-02  9.644104e+07  9.945437e+07  1.457332e+17  2.547519e+18  6.605451e+03
33  1.100000e+04  3.300000e-02  3.300000e-02  9.945437e+07  1.024677e+08  1.451667e+17  2.351897e+18  6.606784e+03
34  1.100000e+04  3.300000e-02  3.300000e-02  1.024677e+08  1.054809e+08  1.446001e+17  2.156278e+18  6.608117e+03
35  1.100000e+04  3.300000e-02  3.300000e-02  1.054809e+08  1.084941e+08  1.440336e+17  1.960662e+18  6.609450e+03
36  1.100000e+04  3.300000e-02  3.300000e-02  1.084941e+08  1.115072e+08  1.437205e+17  1.822559e+18  6.610689e+03
37  1.100000e+04  3.300000e-02  3.300000e-02  1.115072e+08  1.145204e+08  1.435853e+17  1.724814e+18  6.611860e+03
38  1.100000e+04  3.300000e-02  3.300000e-02  1.145204e+08  1.175334e+08  1.434501e+17  1.627070e+18  6.613032e+03
39  1.100000e+04  3.300000e-02  3.300000e-02  1.175334e+08  1.205464e+08  1.433149e+17  1.529328e+18  6.614204e+03
40  1.100000e+04  3.300000e-02  3.300000e-02  1.205464e+08  1.235594e+08  1.431797e+17  1.431587e+18  6.615376e+03
41  1.100000e+04  3.300000e-02  3.300000e-02  1.235594e+08  1.265723e+08  1.430445e+17  1.333848e+18  6.616547e+03
42  1.100000e+04  3.300000e-02  3.300000e-02  1.265723e+08  1.295851e+08  1.429093e+17  1.236111e+18  6.617719e+03
