# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=41.5 Mm, apex_T=2.00 MK, footpoint |B|=34.2 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=564
g_si=274.0
B_outer_T=3.420000e-03
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=4.152300e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  3.420000e-03  3.420000e-03  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  3.420000e-03  3.420000e-03  3.014000e+06  6.027999e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  3.420000e-03  3.420000e-03  6.027999e+06  9.041998e+06  2.014897e+17  2.205586e+19  6.310345e+03
3  1.100000e+04  3.420000e-03  3.420000e-03  9.041998e+06  1.205599e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  3.420000e-03  3.420000e-03  1.205599e+07  1.506999e+07  2.064485e+17  1.895106e+19  6.367803e+03
5  1.100000e+04  3.420000e-03  3.420000e-03  1.506999e+07  1.808398e+07  2.087818e+17  1.742773e+19  6.396136e+03
6  1.100000e+04  3.420000e-03  3.420000e-03  1.808398e+07  2.109797e+07  2.094431e+17  1.621195e+19  6.419528e+03
7  1.100000e+04  3.420000e-03  3.420000e-03  2.109797e+07  2.411196e+07  2.098403e+17  1.504474e+19  6.442139e+03
8  1.100000e+04  3.420000e-03  3.420000e-03  2.411196e+07  2.712594e+07  2.102375e+17  1.387752e+19  6.464750e+03
9  1.100000e+04  3.420000e-03  3.420000e-03  2.712594e+07  3.013991e+07  2.087132e+17  1.288776e+19  6.482821e+03
10  1.100000e+04  3.420000e-03  3.420000e-03  3.013991e+07  3.315388e+07  2.058584e+17  1.202086e+19  6.497750e+03
11  1.100000e+04  3.420000e-03  3.420000e-03  3.315388e+07  3.616785e+07  2.030037e+17  1.115397e+19  6.512678e+03
12  1.100000e+04  3.420000e-03  3.420000e-03  3.616785e+07  3.918181e+07  2.001490e+17  1.028707e+19  6.527606e+03
13  1.100000e+04  3.420000e-03  3.420000e-03  3.918181e+07  4.219576e+07  1.966869e+17  9.638943e+18  6.536387e+03
14  1.100000e+04  3.420000e-03  3.420000e-03  4.219576e+07  4.520971e+07  1.930461e+17  9.055178e+18  6.543359e+03
15  1.100000e+04  3.420000e-03  3.420000e-03  4.520971e+07  4.822364e+07  1.894053e+17  8.471415e+18  6.550330e+03
16  1.100000e+04  3.420000e-03  3.420000e-03  4.822364e+07  5.123757e+07  1.857646e+17  7.887653e+18  6.557302e+03
17  1.100000e+04  3.420000e-03  3.420000e-03  5.123757e+07  5.425149e+07  1.821238e+17  7.303893e+18  6.564274e+03
18  1.100000e+04  3.420000e-03  3.420000e-03  5.425149e+07  5.726540e+07  1.784831e+17  6.720135e+18  6.571245e+03
