# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=19.8 Mm, apex_T=2.00 MK, footpoint |B|=21.0 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=456
g_si=274.0
B_outer_T=2.100000e-03
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=1.976400e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  2.100000e-03  2.100000e-03  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  2.100000e-03  2.100000e-03  3.014000e+06  6.027997e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  2.100000e-03  2.100000e-03  6.027997e+06  9.041990e+06  2.014896e+17  2.205587e+19  6.310345e+03
3  1.100000e+04  2.100000e-03  2.100000e-03  9.041990e+06  1.205598e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  2.100000e-03  2.100000e-03  1.205598e+07  1.506995e+07  2.064485e+17  1.895108e+19  6.367803e+03
5  1.100000e+04  2.100000e-03  2.100000e-03  1.506995e+07  1.808392e+07  2.087818e+17  1.742776e+19  6.396136e+03
6  1.100000e+04  2.100000e-03  2.100000e-03  1.808392e+07  2.109787e+07  2.094430e+17  1.621199e+19  6.419527e+03
7  1.100000e+04  2.100000e-03  2.100000e-03  2.109787e+07  2.411180e+07  2.098403e+17  1.504478e+19  6.442138e+03
8  1.100000e+04  2.100000e-03  2.100000e-03  2.411180e+07  2.712572e+07  2.102375e+17  1.387759e+19  6.464748e+03
9  1.100000e+04  2.100000e-03  2.100000e-03  2.712572e+07  3.013962e+07  2.087134e+17  1.288783e+19  6.482820e+03
10  1.100000e+04  2.100000e-03  2.100000e-03  3.013962e+07  3.315349e+07  2.058588e+17  1.202096e+19  6.497748e+03
