# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=30.0 Mm, apex_T=2.00 MK, footpoint |B|=643.0 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=506
g_si=274.0
B_outer_T=6.430000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=3.000000e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  6.430000e-02  6.430000e-02  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  6.430000e-02  6.430000e-02  3.014000e+06  6.027999e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  6.430000e-02  6.430000e-02  6.027999e+06  9.041996e+06  2.014897e+17  2.205586e+19  6.310345e+03
3  1.100000e+04  6.430000e-02  6.430000e-02  9.041996e+06  1.205599e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  6.430000e-02  6.430000e-02  1.205599e+07  1.506998e+07  2.064485e+17  1.895107e+19  6.367803e+03
5  1.100000e+04  6.430000e-02  6.430000e-02  1.506998e+07  1.808396e+07  2.087818e+17  1.742774e+19  6.396136e+03
6  1.100000e+04  6.430000e-02  6.430000e-02  1.808396e+07  2.109794e+07  2.094430e+17  1.621196e+19  6.419527e+03
7  1.100000e+04  6.430000e-02  6.430000e-02  2.109794e+07  2.411191e+07  2.098403e+17  1.504475e+19  6.442138e+03
8  1.100000e+04  6.430000e-02  6.430000e-02  2.411191e+07  2.712588e+07  2.102375e+17  1.387754e+19  6.464749e+03
9  1.100000e+04  6.430000e-02  6.430000e-02  2.712588e+07  3.013983e+07  2.087132e+17  1.288778e+19  6.482821e+03
10  1.100000e+04  6.430000e-02  6.430000e-02  3.013983e+07  3.315378e+07  2.058585e+17  1.202089e+19  6.497749e+03
11  1.100000e+04  6.430000e-02  6.430000e-02  3.315378e+07  3.616771e+07  2.030038e+17  1.115400e+19  6.512677e+03
12  1.100000e+04  6.430000e-02  6.430000e-02  3.616771e+07  3.918163e+07  2.001491e+17  1.028712e+19  6.527606e+03
13  1.100000e+04  6.430000e-02  6.430000e-02  3.918163e+07  4.219554e+07  1.966871e+17  9.638981e+18  6.536386e+03
14  1.100000e+04  6.430000e-02  6.430000e-02  4.219554e+07  4.520944e+07  1.930464e+17  9.055225e+18  6.543358e+03
15  1.100000e+04  6.430000e-02  6.430000e-02  4.520944e+07  4.822332e+07  1.894057e+17  8.471472e+18  6.550330e+03
16  1.100000e+04  6.430000e-02  6.430000e-02  4.822332e+07  5.123718e+07  1.857650e+17  7.887722e+18  6.557301e+03
17  1.100000e+04  6.430000e-02  6.430000e-02  5.123718e+07  5.425103e+07  1.821243e+17  7.303976e+18  6.564273e+03
18  1.100000e+04  6.430000e-02  6.430000e-02  5.425103e+07  5.726486e+07  1.784837e+17  6.720233e+18  6.571244e+03
19  1.100000e+04  6.430000e-02  6.430000e-02  5.726486e+07  6.027867e+07  1.748856e+17  6.211748e+18  6.576905e+03
20  1.100000e+04  6.430000e-02  6.430000e-02  6.027867e+07  6.329246e+07  1.713787e+17  5.864818e+18  6.579752e+03
21  1.100000e+04  6.430000e-02  6.430000e-02  6.329246e+07  6.630623e+07  1.678719e+17  5.517891e+18  6.582598e+03
22  1.100000e+04  6.430000e-02  6.430000e-02  6.630623e+07  6.931997e+07  1.643651e+17  5.170966e+18  6.585445e+03
23  1.100000e+04  6.430000e-02  6.430000e-02  6.931997e+07  7.233370e+07  1.608584e+17  4.824043e+18  6.588292e+03
24  1.100000e+04  6.430000e-02  6.430000e-02  7.233370e+07  7.534740e+07  1.573517e+17  4.477123e+18  6.591139e+03
25  1.100000e+04  6.430000e-02  6.430000e-02  7.534740e+07  7.836107e+07  1.538450e+17  4.130206e+18  6.593986e+03
26  1.100000e+04  6.430000e-02  6.430000e-02  7.836107e+07  8.137472e+07  1.503383e+17  3.783292e+18  6.596832e+03
27  1.100000e+04  6.430000e-02  6.430000e-02  8.137472e+07  8.438834e+07  1.485658e+17  3.525604e+18  6.598786e+03
28  1.100000e+04  6.430000e-02  6.430000e-02  8.438834e+07  8.740194e+07  1.479992e+17  3.329963e+18  6.600120e+03
