# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=40.0 Mm, apex_T=2.00 MK, footpoint |B|=643.0 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=556
g_si=274.0
B_outer_T=6.430000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=4.000000e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  6.430000e-02  6.430000e-02  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  6.430000e-02  6.430000e-02  3.014000e+06  6.027999e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  6.430000e-02  6.430000e-02  6.027999e+06  9.041997e+06  2.014897e+17  2.205586e+19  6.310345e+03
3  1.100000e+04  6.430000e-02  6.430000e-02  9.041997e+06  1.205599e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  6.430000e-02  6.430000e-02  1.205599e+07  1.506999e+07  2.064485e+17  1.895106e+19  6.367803e+03
5  1.100000e+04  6.430000e-02  6.430000e-02  1.506999e+07  1.808398e+07  2.087818e+17  1.742774e+19  6.396136e+03
6  1.100000e+04  6.430000e-02  6.430000e-02  1.808398e+07  2.109797e+07  2.094431e+17  1.621195e+19  6.419528e+03
7  1.100000e+04  6.430000e-02  6.430000e-02  2.109797e+07  2.411195e+07  2.098403e+17  1.504474e+19  6.442139e+03
8  1.100000e+04  6.430000e-02  6.430000e-02  2.411195e+07  2.712593e+07  2.102375e+17  1.387752e+19  6.464750e+03
9  1.100000e+04  6.430000e-02  6.430000e-02  2.712593e+07  3.013991e+07  2.087132e+17  1.288776e+19  6.482821e+03
10  1.100000e+04  6.430000e-02  6.430000e-02  3.013991e+07  3.315388e+07  2.058584e+17  1.202086e+19  6.497749e+03
11  1.100000e+04  6.430000e-02  6.430000e-02  3.315388e+07  3.616784e+07  2.030037e+17  1.115397e+19  6.512678e+03
12  1.100000e+04  6.430000e-02  6.430000e-02  3.616784e+07  3.918179e+07  2.001490e+17  1.028708e+19  6.527606e+03
13  1.100000e+04  6.430000e-02  6.430000e-02  3.918179e+07  4.219574e+07  1.966869e+17  9.638946e+18  6.536387e+03
14  1.100000e+04  6.430000e-02  6.430000e-02  4.219574e+07  4.520968e+07  1.930461e+17  9.055182e+18  6.543358e+03
15  1.100000e+04  6.430000e-02  6.430000e-02  4.520968e+07  4.822362e+07  1.894054e+17  8.471420e+18  6.550330e+03
16  1.100000e+04  6.430000e-02  6.430000e-02  4.822362e+07  5.123754e+07  1.857646e+17  7.887659e+18  6.557302e+03
17  1.100000e+04  6.430000e-02  6.430000e-02  5.123754e+07  5.425145e+07  1.821238e+17  7.303900e+18  6.564273e+03
18  1.100000e+04  6.430000e-02  6.430000e-02  5.425145e+07  5.726536e+07  1.784831e+17  6.720143e+18  6.571245e+03
19  1.100000e+04  6.430000e-02  6.430000e-02  5.726536e+07  6.027925e+07  1.748849e+17  6.211686e+18  6.576905e+03
20  1.100000e+04  6.430000e-02  6.430000e-02  6.027925e+07  6.329313e+07  1.713780e+17  5.864746e+18  6.579752e+03
21  1.100000e+04  6.430000e-02  6.430000e-02  6.329313e+07  6.630700e+07  1.678711e+17  5.517807e+18  6.582599e+03
22  1.100000e+04  6.430000e-02  6.430000e-02  6.630700e+07  6.932086e+07  1.643642e+17  5.170870e+18  6.585446e+03
23  1.100000e+04  6.430000e-02  6.430000e-02  6.932086e+07  7.233470e+07  1.608573e+17  4.823934e+18  6.588293e+03
24  1.100000e+04  6.430000e-02  6.430000e-02  7.233470e+07  7.534854e+07  1.573504e+17  4.477000e+18  6.591140e+03
25  1.100000e+04  6.430000e-02  6.430000e-02  7.534854e+07  7.836235e+07  1.538436e+17  4.130067e+18  6.593987e+03
26  1.100000e+04  6.430000e-02  6.430000e-02  7.836235e+07  8.137616e+07  1.503367e+17  3.783136e+18  6.596834e+03
27  1.100000e+04  6.430000e-02  6.430000e-02  8.137616e+07  8.438994e+07  1.485655e+17  3.525505e+18  6.598787e+03
28  1.100000e+04  6.430000e-02  6.430000e-02  8.438994e+07  8.740371e+07  1.479989e+17  3.329853e+18  6.600120e+03
