# format_version=1
# table_id=chromosphere2026_gamma1_hydrogen_v1
# material=pure_H
# excitation=0
# fermi_gas=0
# coulomb_correction=0
# ground_stat_weight=1
# saha_prefactor=coefficient_one
# axis_1=log10_T_K
# axis_2=log10_nH_m-3
# value=Gamma1
# nT=501
# nN=57
# k_b_J_K=1.380649e-23
# m_e_kg=9.1093837015e-31
# m_H_kg=1.6726219e-27
# h_J_s=6.62607015e-34
# chi_H_J=2.179872361e-18
# generator=util/eos/tabulate_gamma.f90
# generation_date=2026-07-19
# source_revision=crash_gamma_eos_stage0_2_v1
   3.505149978319906E+00   1.200000000000000E+01   1.504665878761626E+00
   3.514139678363266E+00   1.200000000000000E+01   1.441015018897728E+00
   3.523129378406626E+00   1.200000000000000E+01   1.370176568580230E+00
   3.532119078449987E+00   1.200000000000000E+01   1.299377811605434E+00
   3.541108778493347E+00   1.200000000000000E+01   1.235589370779826E+00
   3.550098478536707E+00   1.200000000000000E+01   1.183104767780904E+00
   3.559088178580067E+00   1.200000000000000E+01   1.142957745371262E+00
   3.568077878623427E+00   1.200000000000000E+01   1.113887285058808E+00
   3.577067578666787E+00   1.200000000000000E+01   1.093662379189935E+00
   3.586057278710148E+00   1.200000000000000E+01   1.080007594931641E+00
   3.595046978753508E+00   1.200000000000000E+01   1.071023372749458E+00
   3.604036678796868E+00   1.200000000000000E+01   1.065278758375996E+00
   3.613026378840228E+00   1.200000000000000E+01   1.061757820540871E+00
   3.622016078883588E+00   1.200000000000000E+01   1.059766602277972E+00
   3.631005778926949E+00   1.200000000000000E+01   1.058847479929502E+00
   3.639995478970309E+00   1.200000000000000E+01   1.058716576343724E+00
   3.648985179013669E+00   1.200000000000000E+01   1.059228860689948E+00
   3.657974879057029E+00   1.200000000000000E+01   1.060376793375569E+00
   3.666964579100390E+00   1.200000000000000E+01   1.062338917573812E+00
   3.675954279143749E+00   1.200000000000000E+01   1.065613936657456E+00
   3.684943979187110E+00   1.200000000000000E+01   1.071297355961569E+00
   3.693933679230470E+00   1.200000000000000E+01   1.081560285579017E+00
   3.702923379273830E+00   1.200000000000000E+01   1.100308387750251E+00
   3.711913079317190E+00   1.200000000000000E+01   1.133623363810382E+00
   3.720902779360550E+00   1.200000000000000E+01   1.188614490344618E+00
   3.729892479403911E+00   1.200000000000000E+01   1.268551840036971E+00
   3.738882179447271E+00   1.200000000000000E+01   1.365682214586565E+00
   3.747871879490631E+00   1.200000000000000E+01   1.461363898569255E+00
   3.756861579533991E+00   1.200000000000000E+01   1.538400065529326E+00
   3.765851279577352E+00   1.200000000000000E+01   1.591257513133956E+00
   3.774840979620711E+00   1.200000000000000E+01   1.623847567442450E+00
   3.783830679664072E+00   1.200000000000000E+01   1.642735741884903E+00
   3.792820379707432E+00   1.200000000000000E+01   1.653347437287328E+00
   3.801810079750792E+00   1.200000000000000E+01   1.659234965227865E+00
   3.810799779794153E+00   1.200000000000000E+01   1.662494643615831E+00
   3.819789479837512E+00   1.200000000000000E+01   1.664305851313492E+00
   3.828779179880873E+00   1.200000000000000E+01   1.665318849975259E+00
